cluster_id,attribute_id,min,max
0x0037,0x08,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0080,0x0001,2,10
0x050b,0x0001,0x00,0xFF
0x002d,0x00,0,2
0x0048,0x0001,0x00,0x1F
0x0048,0x0002,0x00,259200
0x009B,0x0000,2,10
0x009B,0x0003,2,10
0x002a,0x0003,0,100
0x0006,0x4003,0,2
0xFFF1FC05,0x0026,20,100
0xFFF1FC05,0x0027,-40,50
0xFFF1FC05,0x0028,100,1000
0xFFF1FC05,0x0029,-150,200
0xFFF1FC05,0x4026,20,100
0xFFF1FC05,0x4027,-40,50
0xFFF1FC05,0x4028,100,1000
0xFFF1FC05,0x4029,-150,200
0x0102,0x0000,0x00,0x09
0x0102,0x0001,0x0000,0xFFFF
0x0102,0x0002,0x0000,0xFFFF
0x0102,0x0003,0x0000,0xFFFF
0x0102,0x0004,0x0000,0xFFFF
0x0102,0x0005,0x0000,0xFFFF
0x0102,0x0006,0x0000,0xFFFF
0x0102,0x0007,0x00,0x7F
0x0102,0x0008,0,100
0x0102,0x0009,0,100
0x0102,0x000A,0x00,0x7F
0x0102,0x000B,0,10000
0x0102,0x000C,0,10000
0x0102,0x000D,0x00,0x20
0x0102,0x000E,0,10000
0x0102,0x000F,0,10000
0x0102,0x0010,0x0000,0xFFFF
0x0102,0x0011,0x0000,0xFFFF
0x0102,0x0012,0x0000,0xFFFF
0x0102,0x0013,0x0000,0xFFFF
0x0102,0x0017,0x00,0x0F
0x0102,0x001A,0x0000,0xFFFF
0x003E,0x0002,5,254
0x005F,0x0001,1,86400
0x0404,0x0003,0x0000,0x0800
0x0046,0x00,1,64800
0x0405,0x0001,0x0000,0x270F
0x0405,0x0002,0x0001,0x2710
0x0405,0x0003,0x0000,0x0800
0x0071,0x0000,0,100
0x0071,0x0001,0,1
0x0071,0x0002,0,2
0x0072,0x0000,0,100
0x0072,0x0001,0,1
0x0072,0x0002,0,2
0x0008,0x0001,0x0000,0xFFFF
0x0008,0x0002,0x00,0xFF
0x0008,0x0003,0x00,0xFF
0x0008,0x0004,0x0000,0xFFFF
0x0008,0x0005,0x0000,0xFFFF
0x0008,0x0006,0x0000,0xFFFF
0x0008,0x000F,0x00,0x03
0x0061,0x0001,0x00,0x1F
0x0061,0x0002,0,259200
0x0035,0x00,0x00,0xFFFF
0x0035,0x03,0x0000,0xFFFF
0x0035,0x04,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0035,0x06,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0035,0x09,0x00000000,0xFFFFFFFF
0x0035,0x0D,0x00,62
0x0035,0x0E,0x0000,0xFFFF
0x0035,0x0F,0x0000,0xFFFF
0x0035,0x10,0x0000,0xFFFF
0x0035,0x11,0x0000,0xFFFF
0x0035,0x12,0x0000,0xFFFF
0x0035,0x13,0x0000,0xFFFF
0x0035,0x14,0x0000,0xFFFF
0x0035,0x15,0x0000,0xFFFF
0x0035,0x16,0x00000000,0xFFFFFFFF
0x0035,0x17,0x00000000,0xFFFFFFFF
0x0035,0x18,0x00000000,0xFFFFFFFF
0x0035,0x19,0x00000000,0xFFFFFFFF
0x0035,0x1A,0x00000000,0xFFFFFFFF
0x0035,0x1B,0x00000000,0xFFFFFFFF
0x0035,0x1C,0x00000000,0xFFFFFFFF
0x0035,0x1D,0x00000000,0xFFFFFFFF
0x0035,0x1E,0x00000000,0xFFFFFFFF
0x0035,0x1F,0x00000000,0xFFFFFFFF
0x0035,0x20,0x00000000,0xFFFFFFFF
0x0035,0x21,0x00000000,0xFFFFFFFF
0x0035,0x22,0x00000000,0xFFFFFFFF
0x0035,0x23,0x00000000,0xFFFFFFFF
0x0035,0x24,0x00000000,0xFFFFFFFF
0x0035,0x25,0x00000000,0xFFFFFFFF
0x0035,0x26,0x00000000,0xFFFFFFFF
0x0035,0x27,0x00000000,0xFFFFFFFF
0x0035,0x28,0x00000000,0xFFFFFFFF
0x0035,0x29,0x00000000,0xFFFFFFFF
0x0035,0x2A,0x00000000,0xFFFFFFFF
0x0035,0x2B,0x00000000,0xFFFFFFFF
0x0035,0x2C,0x00000000,0xFFFFFFFF
0x0035,0x2D,0x00000000,0xFFFFFFFF
0x0035,0x2E,0x00000000,0xFFFFFFFF
0x0035,0x2F,0x00000000,0xFFFFFFFF
0x0035,0x30,0x00000000,0xFFFFFFFF
0x0035,0x31,0x00000000,0xFFFFFFFF
0x0035,0x32,0x00000000,0xFFFFFFFF
0x0035,0x33,0x00000000,0xFFFFFFFF
0x0035,0x34,0x00000000,0xFFFFFFFF
0x0035,0x35,0x00000000,0xFFFFFFFF
0x0035,0x36,0x00000000,0xFFFFFFFF
0x0035,0x37,0x00000000,0xFFFFFFFF
0x0035,0x38,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0035,0x39,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0035,0x3A,0x00000000,0xFFFFFFFF
0x0506,0x0000,0x00,0x03
0x0034,0x01,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0034,0x02,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0034,0x03,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0090,0x0000,0x00,0x02
0x0090,0x0004,-4611686018427387904,4611686018427387904
0x0090,0x0005,-4611686018427387904,4611686018427387904
0x0090,0x0006,-4611686018427387904,4611686018427387904
0x0090,0x0007,0,4611686018427387904
0x0090,0x0008,-4611686018427387904,4611686018427387904
0x0090,0x0009,-4611686018427387904,4611686018427387904
0x0090,0x000A,-4611686018427387904,4611686018427387904
0x0090,0x000B,-4611686018427387904,4611686018427387904
0x0090,0x000C,-4611686018427387904,4611686018427387904
0x0090,0x000D,-4611686018427387904,4611686018427387904
0x0090,0x000E,0,1000000
0x0090,0x0011,-10000,10000
0x0090,0x0012,-4611686018427387904,4611686018427387904
